case_id,protein_id,ligand_id,ligand_ccd_code,model,msa_source,msa_path,status,error_message
c843724f8df1,C7R4I0,L009,NAG8,rf3,mmseqs,,skipped,Missing MSA
1b1318aa7a27,Q9RFX5,L001,STA4,af3,native,,pending,
37f4f913ec1d,Q9RFX5,L001,STA4,boltz,mmseqs,,skipped,Missing MSA
e6f454e3ed17,Q9RFX5,L001,STA4,rf3,mmseqs,,skipped,Missing MSA
defc8ffab298,Q9RFX5,L002,STA6,af3,native,,pending,
4b83237cf4ec,Q9RFX5,L002,STA6,boltz,mmseqs,,skipped,Missing MSA
d60dc0d72fcb,Q9RFX5,L002,STA6,rf3,mmseqs,,skipped,Missing MSA
6a7bc0aaa127,Q9RFX5,L003,STA8,af3,native,,pending,
06e6315e6ae7,Q9RFX5,L003,STA8,boltz,mmseqs,,skipped,Missing MSA
491ddce60cfd,Q9RFX5,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
8b8e88f0365d,Q9RFX5,L004,CEL4,af3,native,,pending,
b3b5a4edf294,Q9RFX5,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
46ad8340f586,Q9RFX5,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
41c54d295167,Q9RFX5,L005,CEL6,af3,native,,pending,
8b78d3ac2f2f,Q9RFX5,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
c9e1c75ba1e6,Q9RFX5,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
ea9512a14ef8,Q9RFX5,L006,CEL8,af3,native,,pending,
fbbd7c49ff43,Q9RFX5,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
4dd0a6620078,Q9RFX5,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
c153ba5e1641,Q9RFX5,L007,NAG4,af3,native,,pending,
2322b0e09178,Q9RFX5,L007,NAG4,boltz,mmseqs,,skipped,Missing MSA
a5261d456a31,Q9RFX5,L007,NAG4,rf3,mmseqs,,skipped,Missing MSA
7850d07a3923,Q9RFX5,L008,NAG6,af3,native,,pending,
4e90e64620b0,Q9RFX5,L008,NAG6,boltz,mmseqs,,skipped,Missing MSA
c51e72c239d8,Q9RFX5,L008,NAG6,rf3,mmseqs,,skipped,Missing MSA
fb264b35b2db,Q9RFX5,L009,NAG8,af3,native,,pending,
c24e0a2bd865,Q9RFX5,L009,NAG8,boltz,mmseqs,,skipped,Missing MSA
de725d38db1c,Q9RFX5,L009,NAG8,rf3,mmseqs,,skipped,Missing MSA
0a1a40070887,B3PDT6,L001,STA4,af3,native,,pending,
8fb57a63feb3,B3PDT6,L001,STA4,boltz,mmseqs,,skipped,Missing MSA
1ce4aff42423,B3PDT6,L001,STA4,rf3,mmseqs,,skipped,Missing MSA
b36a97ba6912,B3PDT6,L002,STA6,af3,native,,pending,
e8181a8dd939,B3PDT6,L002,STA6,boltz,mmseqs,,skipped,Missing MSA
9b40305379fd,B3PDT6,L002,STA6,rf3,mmseqs,,skipped,Missing MSA
e59fc4619282,B3PDT6,L003,STA8,af3,native,,pending,
